,songs,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
138,SO DONE,The Kid LAROI,Top Songs of 2021: Canada,0.719,0.598,9.0,-6.254,1.0,0.077,0.232,0.0,0.115,0.303,142.592,126521.0,70.0
139,What You Know Bout Love,Pop Smoke,Top Songs of 2021: Canada,0.709,0.548,10.0,-8.493,1.0,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000.0,77.0
140,Wants and Needs (feat. Lil Baby),Drake,Top Songs of 2021: Canada,0.578,0.449,1.0,-6.349,1.0,0.286,0.0618,2.17e-06,0.119,0.1,136.006,192956.0,79.0
141,Lonely,"Justin Bieber, benny blanco",Top Songs of 2021: Canada,0.619,0.241,11.0,-7.102,0.0,0.046,0.9,0.0,0.116,0.0719,79.461,149190.0,70.0
142,Bad Habits,Ed Sheeran,Top Songs of 2021: Canada,0.807,0.893,11.0,-3.745,0.0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,230747.0,83.0
143,Martin & Gina,Polo G,Top Songs of 2021: Canada,0.832,0.534,1.0,-7.813,0.0,0.253,0.345,0.0,0.165,0.116,93.924,132833.0,79.0
144,deja vu,Olivia Rodrigo,Top Songs of 2021: Canada,0.442,0.612,2.0,-7.222,1.0,0.112,0.584,5.7e-06,0.37,0.178,180.917,215507.0,82.0
145,you broke me first,Tate McRae,Top Songs of 2021: Canada,0.667,0.373,4.0,-9.389,1.0,0.05,0.785,0.0,0.0906,0.0823,124.148,169266.0,80.0
146,Dance Monkey,Tones And I,Top Songs of 2021: Canada,0.824,0.588,6.0,-6.4,0.0,0.0924,0.692,0.000104,0.149,0.513,98.027,209438.0,74.0
147,Watermelon Sugar,Harry Styles,Top Songs of 2021: Canada,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,174000.0,85.0
148,Be Like That,"Kane Brown, Swae Lee, Khalid",Top Songs of 2021: Canada,0.727,0.626,7.0,-8.415,1.0,0.0726,0.0469,2.58e-05,0.126,0.322,86.97,191406.0,70.0
149,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",Top Songs of 2021: Canada,0.767,0.481,0.0,-8.52,0.0,0.0803,0.234,0.0,0.269,0.761,150.076,171375.0,72.0
150,Monster,"Shawn Mendes, Justin Bieber",Top Songs of 2021: Canada,0.652,0.383,2.0,-7.076,0.0,0.0516,0.0676,0.0,0.0828,0.549,145.765,178994.0,69.0
151,Hold On,Justin Bieber,Top Songs of 2021: Canada,0.658,0.634,1.0,-6.068,0.0,0.0431,0.0104,0.0,0.12,0.302,140.002,170813.0,72.0
152,Calling My Phone,"Lil Tjay, 6LACK",Top Songs of 2021: Canada,0.907,0.393,4.0,-7.636,0.0,0.0539,0.451,1.35e-06,0.135,0.202,104.949,205458.0,76.0
153,Beautiful Mistakes,"Maroon 5, Megan Thee Stallion",Top Songs of 2021: Canada,0.713,0.676,10.0,-5.483,1.0,0.027,0.0377,0.0,0.154,0.721,99.048,227395.0,77.0
154,More Than My Hometown,Morgan Wallen,Top Songs of 2021: Canada,0.62,0.869,6.0,-5.479,1.0,0.0462,0.615,0.0,0.131,0.597,126.019,216573.0,75.0
155,Anyone,Justin Bieber,Top Songs of 2021: Canada,0.686,0.538,2.0,-8.026,1.0,0.0345,0.181,3.13e-06,0.113,0.584,115.884,190779.0,71.0
156,West Coast (feat. Quinn XCII),DVBBS,Top Songs of 2021: Canada,0.714,0.798,5.0,-4.239,0.0,0.0612,0.00248,0.000678,0.103,0.659,119.017,150819.0,57.0
157,The Business,Tiësto,Top Songs of 2021: Canada,0.798,0.62,8.0,-7.079,0.0,0.232,0.414,0.0192,0.112,0.235,120.031,164000.0,78.0
158,Wasted On You,Morgan Wallen,Top Songs of 2021: Canada,0.505,0.657,11.0,-5.24,0.0,0.0318,0.373,0.00107,0.126,0.252,196.0,178520.0,80.0
159,Someone You Loved,Lewis Capaldi,Top Songs of 2021: Canada,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,182161.0,85.0
160,Breaking Me,"Topic, A7S",Top Songs of 2021: Canada,0.789,0.72,8.0,-5.652,0.0,0.218,0.223,0.0,0.129,0.664,122.031,166794.0,73.0
