,songs,artist_x,title,artist_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,country
195,The Box,Roddy Ricch,Top Songs of 2020: USA,Roddy Ricch,0.896,0.586,10.0,-6.687,0.0,0.0559,0.104,0.0,0.79,0.642,116.971,2020,USA
199,Woah,Lil Baby,Top Songs of 2020: USA,Lil Baby,0.882,0.602,11.0,-5.554,1.0,0.245,0.0177,0.0,0.178,0.43,142.959,2020,USA
201,Ballin’,"Mustard, Roddy Ricch",Top Songs of 2020: USA,"Mustard, Roddy Ricch",0.809,0.545,7.0,-6.678,1.0,0.0735,0.392,0.0,0.151,0.244,97.008,2020,USA
204,Blinding Lights,The Weeknd,Top Songs of 2020: USA,The Weeknd,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,2020,USA
213,Sum 2 Prove,Lil Baby,Top Songs of 2020: USA,Lil Baby,0.827,0.552,4.0,-7.571,0.0,0.274,0.0169,0.0,0.122,0.408,124.011,2020,USA
216,BOP,DaBaby,Top Songs of 2020: USA,DaBaby,0.769,0.787,11.0,-3.909,1.0,0.367,0.189,0.0,0.129,0.836,126.77,2020,USA
217,Bandit,"Juice WRLD, YoungBoy Never Broke Again",Top Songs of 2020: USA,"Juice WRLD, YoungBoy Never Broke Again",0.474,0.631,5.0,-5.884,0.0,0.343,0.0687,0.0,0.132,0.425,180.051,2020,USA
218,Circles,Post Malone,Top Songs of 2020: USA,Post Malone,0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.553,120.042,2020,USA
226,No Guidance (feat. Drake),Chris Brown,Top Songs of 2020: USA,Chris Brown,0.696,0.454,1.0,-6.756,0.0,0.153,0.123,0.0,0.155,0.136,92.928,2020,USA
234,HIGHEST IN THE ROOM,Travis Scott,Top Songs of 2020: USA,Travis Scott,0.598,0.427,7.0,-8.764,0.0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,2020,USA
237,We Paid,"Lil Baby, 42 Dugg",Top Songs of 2020: USA,"Lil Baby, 42 Dugg",0.926,0.542,1.0,-5.064,1.0,0.293,0.135,0.0,0.0877,0.564,135.14,2020,USA
239,ROXANNE,Arizona Zervas,Top Songs of 2020: USA,Arizona Zervas,0.621,0.601,6.0,-5.616,0.0,0.148,0.0522,0.0,0.46,0.457,116.735,2020,USA
242,Baby,"Quality Control, Lil Baby, DaBaby",Top Songs of 2020: USA,"Quality Control, Lil Baby, DaBaby",0.97,0.463,10.0,-7.259,1.0,0.366,0.0957,0.0,0.151,0.46,108.003,2020,USA
244,VIBEZ,DaBaby,Top Songs of 2020: USA,DaBaby,0.768,0.652,1.0,-2.708,0.0,0.307,0.113,0.0,0.107,0.777,154.187,2020,USA
245,everything i wanted,Billie Eilish,Top Songs of 2020: USA,Billie Eilish,0.704,0.225,6.0,-14.454,0.0,0.0994,0.902,0.657,0.106,0.243,120.006,2020,USA
248,Toosie Slide,Drake,Top Songs of 2020: USA,Drake,0.834,0.454,1.0,-9.75,0.0,0.201,0.321,6.15e-06,0.114,0.837,81.618,2020,USA
251,Emotionally Scarred,Lil Baby,Top Songs of 2020: USA,Lil Baby,0.585,0.641,6.0,-4.269,0.0,0.133,0.0286,0.0,0.316,0.266,88.284,2020,USA
253,OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott",Top Songs of 2020: USA,"JACKBOYS, Travis Scott",0.802,0.591,8.0,-4.895,1.0,0.225,0.0104,0.0,0.196,0.309,139.864,2020,USA
254,Make No Sense,YoungBoy Never Broke Again,Top Songs of 2020: USA,YoungBoy Never Broke Again,0.876,0.733,10.0,-4.478,0.0,0.333,0.0208,0.0,0.0999,0.962,154.904,2020,USA
255,Don't Start Now,Dua Lipa,Top Songs of 2020: USA,,,,,,,,,,,,,2020,USA
256,Someone You Loved,Lewis Capaldi,Top Songs of 2020: USA,Lewis Capaldi,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,2020,USA
266,Blueberry Faygo,Lil Mosey,Top Songs of 2020: USA,Lil Mosey,0.774,0.554,0.0,-7.909,1.0,0.0383,0.207,0.0,0.132,0.349,99.034,2020,USA
268,Heartless,The Weeknd,Top Songs of 2020: USA,The Weeknd,0.538,0.751,10.0,-5.487,0.0,0.128,0.0194,1.42e-06,0.145,0.244,169.985,2020,USA
269,Adore You,Harry Styles,Top Songs of 2020: USA,Harry Styles,0.676,0.771,8.0,-3.675,1.0,0.0483,0.0237,7e-06,0.102,0.569,99.048,2020,USA
274,Heartless (feat. Morgan Wallen),Diplo,Top Songs of 2020: USA,Diplo,0.765,0.556,11.0,-6.417,1.0,0.0512,0.275,0.0,0.0824,0.274,111.033,2020,USA
276,P*$$Y Fairy (OTW),Jhené Aiko,Top Songs of 2020: USA,Jhené Aiko,0.572,0.519,2.0,-7.092,0.0,0.212,0.536,0.0,0.102,0.35,128.331,2020,USA
277,Falling,Trevor Daniel,Top Songs of 2020: USA,Trevor Daniel,0.785,0.431,10.0,-8.756,0.0,0.0364,0.123,0.0,0.0887,0.236,127.085,2020,USA
278,Falling,Trevor Daniel,Top Songs of 2020: USA,Harry Styles,0.567,0.267,4.0,-6.502,1.0,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,2020,USA
282,Watermelon Sugar,Harry Styles,Top Songs of 2020: USA,Harry Styles,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,2020,USA
289,Playing Games (Extended Version),"Summer Walker, Bryson Tiller",Top Songs of 2020: USA,"Summer Walker, Bryson Tiller",0.726,0.408,11.0,-6.606,0.0,0.0614,0.603,0.0,0.225,0.459,115.918,2020,USA
290,Go Crazy,"Chris Brown, Young Thug",Top Songs of 2020: USA,"Chris Brown, Young Thug",0.755,0.578,0.0,-8.932,0.0,0.145,0.316,0.0,0.25,0.581,94.148,2020,USA
296,Heart on Ice,Rod Wave,Top Songs of 2020: USA,Rod Wave,0.732,0.387,10.0,-8.47,0.0,0.0741,0.0493,0.0,0.141,0.242,157.875,2020,USA
297,Suicidal,YNW Melly,Top Songs of 2020: USA,YNW Melly,0.735,0.369,9.0,-9.682,0.0,0.0688,0.334,0.0,0.126,0.235,140.004,2020,USA
298,Grace,"Lil Baby, 42 Dugg",Top Songs of 2020: USA,"Lil Baby, 42 Dugg",0.817,0.513,10.0,-6.263,0.0,0.394,0.38,0.0,0.109,0.177,123.029,2020,USA
299,hot girl bummer,blackbear,Top Songs of 2020: USA,blackbear,0.782,0.559,6.0,-7.106,0.0,0.0767,0.125,0.0,0.385,0.685,129.992,2020,USA
302,Come Thru,"Summer Walker, Usher",Top Songs of 2020: USA,"Summer Walker, Usher",0.679,0.728,5.0,-3.092,0.0,0.154,0.159,0.0,0.107,0.46,152.001,2020,USA
303,Vete,Bad Bunny,Top Songs of 2020: USA,Bad Bunny,0.886,0.672,1.0,-4.394,1.0,0.188,0.0363,8.78e-06,0.101,0.526,91.976,2020,USA
304,"10,000 Hours","Dan + Shay, Justin Bieber",Top Songs of 2020: USA,"Dan + Shay, Justin Bieber",0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,2020,USA
307,No Idea,Don Toliver,Top Songs of 2020: USA,Don Toliver,0.652,0.631,6.0,-5.718,0.0,0.0893,0.524,0.000579,0.165,0.35,127.998,2020,USA
308,I Hope,Gabby Barrett,Top Songs of 2020: USA,Gabby Barrett,0.466,0.536,6.0,-6.227,1.0,0.0429,0.0951,0.0,0.114,0.377,75.998,2020,USA
309,Chasin' You,Morgan Wallen,Top Songs of 2020: USA,Morgan Wallen,0.631,0.591,7.0,-5.785,1.0,0.0277,0.657,0.0,0.11,0.489,97.074,2020,USA
311,Hot Now,YoungBoy Never Broke Again,Top Songs of 2020: USA,YoungBoy Never Broke Again,0.739,0.637,4.0,-5.79,0.0,0.44,0.232,0.0,0.634,0.513,164.91,2020,USA
312,Futsal Shuffle 2020,Lil Uzi Vert,Top Songs of 2020: USA,Lil Uzi Vert,0.881,0.457,7.0,-8.191,0.0,0.156,0.0327,0.0,0.231,0.296,136.97,2020,USA
313,The Bigger Picture,Lil Baby,Top Songs of 2020: USA,Lil Baby,0.59,0.618,1.0,-5.756,1.0,0.334,0.0127,0.0,0.244,0.153,96.459,2020,USA
314,Chicago Freestyle,"Drake, GIVĒON",Top Songs of 2020: USA,"Drake, GIVĒON",0.735,0.449,10.0,-7.507,1.0,0.347,0.629,0.0,0.113,0.0397,122.947,2020,USA
315,Suge,DaBaby,Top Songs of 2020: USA,DaBaby,0.876,0.662,2.0,-6.482,0.0,0.426,0.0608,0.0,0.127,0.844,75.445,2020,USA
317,Money In The Grave (feat. Rick Ross),Drake,Top Songs of 2020: USA,,,,,,,,,,,,,2020,USA
318,Drip Too Hard,"Lil Baby, Gunna",Top Songs of 2020: USA,"Lil Baby, Gunna",0.897,0.662,1.0,-6.903,0.0,0.292,0.0852,0.0,0.534,0.389,112.511,2020,USA
322,Lucid Dreams,Juice WRLD,Top Songs of 2020: USA,Juice WRLD,0.511,0.566,6.0,-7.23,0.0,0.2,0.349,0.0,0.34,0.218,83.903,2020,USA
324,Body,Summer Walker,Top Songs of 2020: USA,Summer Walker,0.555,0.507,11.0,-6.099,0.0,0.167,0.25,0.0,0.283,0.339,137.875,2020,USA
325,Body,Summer Walker,Top Songs of 2020: USA,Megan Thee Stallion,0.914,0.732,8.0,-6.1,0.0,0.241,0.0166,0.0,0.107,0.469,94.066,2020,USA
326,Savage Remix (feat. Beyoncé),Megan Thee Stallion,Top Songs of 2020: USA,Megan Thee Stallion,0.822,0.743,10.0,-4.772,0.0,0.28,0.016,0.0,0.127,0.636,84.459,2020,USA
327,SICKO MODE,Travis Scott,Top Songs of 2020: USA,Travis Scott,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,2020,USA
333,Heatin Up,"Lil Baby, Gunna",Top Songs of 2020: USA,"Lil Baby, Gunna",0.788,0.436,1.0,-9.435,1.0,0.364,0.0611,0.0,0.0979,0.341,129.847,2020,USA
334,Sunday Best,Surfaces,Top Songs of 2020: USA,Surfaces,0.878,0.525,5.0,-6.832,1.0,0.0578,0.183,0.0,0.0714,0.694,112.022,2020,USA
337,Robbery,Juice WRLD,Top Songs of 2020: USA,Juice WRLD,0.623,0.692,2.0,-5.122,1.0,0.0504,0.328,0.0,0.153,0.566,79.899,2020,USA
339,Lonely Child,YoungBoy Never Broke Again,Top Songs of 2020: USA,YoungBoy Never Broke Again,0.584,0.688,6.0,-4.427,0.0,0.431,0.294,0.0,0.097,0.628,94.971,2020,USA
340,bad guy,Billie Eilish,Top Songs of 2020: USA,Billie Eilish,0.701,0.425,7.0,-10.965,1.0,0.375,0.328,0.13,0.1,0.562,135.128,2020,USA
350,Whiskey Glasses,Morgan Wallen,Top Songs of 2020: USA,Morgan Wallen,0.614,0.68,6.0,-4.58,1.0,0.0289,0.369,1.84e-06,0.115,0.707,149.959,2020,USA
354,Say So,Doja Cat,Top Songs of 2020: USA,Doja Cat,0.787,0.673,11.0,-4.583,0.0,0.159,0.264,3.35e-06,0.0904,0.779,110.962,2020,USA
357,Memories,Maroon 5,Top Songs of 2020: USA,Maroon 5,0.775,0.327,11.0,-7.241,1.0,0.0557,0.841,0.0,0.0821,0.595,91.05,2020,USA
364,If the World Was Ending (feat. Julia Michaels),JP Saxe,Top Songs of 2020: USA,JP Saxe,0.464,0.473,1.0,-10.086,1.0,0.129,0.866,0.0,0.109,0.604,75.801,2020,USA
367,Before You Go,Lewis Capaldi,Top Songs of 2020: USA,Lewis Capaldi,0.459,0.575,3.0,-4.858,1.0,0.0573,0.604,0.0,0.0885,0.183,111.881,2020,USA
372,F.N,Lil Tjay,Top Songs of 2020: USA,Lil Tjay,0.567,0.515,6.0,-10.265,0.0,0.247,0.354,0.0,0.078,0.321,120.1,2020,USA
